日期,開盤價,最高價,最低價,收盤價,成交量
2010/01/04,67.3,69.2,63.0,63.8,482000
2025/05/02,22.4,22.7,22.0,22.1,467800
2025/05/05,22.1,22.6,20.85,21.2,321596
2025/05/06,21.3,21.8,21.0,21.6,152563
2025/05/07,21.9,22.95,21.65,21.75,351635
2025/05/08,21.75,22.4,21.75,22.05,174438
2025/05/09,22.15,22.15,21.8,22.0,106742
2025/05/12,22.25,22.5,22.05,22.25,113356
2025/05/13,23.0,23.05,22.25,22.4,282769
2025/05/14,22.45,22.5,22.0,22.35,258110
2025/05/15,22.25,22.8,22.15,22.15,151004
2025/05/16,22.15,22.15,21.7,21.7,218319
2025/05/19,21.65,21.65,20.9,20.9,140187
2025/05/20,21.35,22.10,21.10,21.10,171438
