日期,開盤價,最高價,最低價,收盤價,成交量
2010/01/04,49.45,49.5,48.3,48.3,451837
2025/05/02,22.0,22.95,21.6,21.6,1163533
2025/05/05,21.85,21.85,20.3,20.4,719940
2025/05/06,20.4,20.9,19.8,20.3,391545
2025/05/07,20.65,21.8,20.45,21.35,670607
2025/05/08,21.8,22.1,21.1,21.1,511495
2025/05/09,21.15,21.65,21.05,21.05,387812
2025/05/12,21.2,22.5,21.2,21.9,614515
2025/05/13,22.25,22.45,21.85,22.2,482097
2025/05/14,22.5,22.6,22.05,22.15,384995
2025/05/15,22.4,22.7,21.9,21.9,290769
2025/05/16,22.2,22.2,21.7,21.85,310782
2025/05/19,21.95,23.45,21.8,22.05,1093059
2025/05/20,22.75,23.65,22.30,23.20,1395833
