日期,開盤價,最高價,最低價,收盤價,成交量
2025/05/02,---,---,---, ---,0
2025/05/05,20.70,20.70,19.80,19.80,8225
2025/05/06,---,---,---, ---,0
2025/05/07,19.65,19.65,19.20,19.20,6098
2025/05/08,20.85,20.85,20.00,20.00,9210
2025/05/09,---,---,---, ---,0
2025/05/12,19.95,19.95,19.95,19.95,1000
2025/05/13,19.55,20.20,19.55,20.20,11033
2025/05/14,20.00,20.00,20.00,20.00,2000
2025/05/15,---,---,---, ---,269
2025/05/16,20.00,20.00,20.00,20.00,5000
2025/05/19,19.70,19.70,19.60,19.60,4229
2025/05/20,20.00,20.00,19.80,20.00,12050
