日期,開盤價,最高價,最低價,收盤價,成交量
2007/04/23,38.9,39.5,38.0,38.0,1619088
2007/04/24,38.3,39.85,38.15,38.4,2749570
2007/04/25,38.4,38.4,36.4,36.6,1671974
2007/04/26,37.0,37.3,35.4,35.5,1572265
2007/04/27,35.8,36.2,34.8,35.1,1525258
2007/04/30,35.4,35.4,34.35,35.35,785834
2007/05/02,35.9,37.45,35.4,35.4,3067267
2007/05/03,35.85,36.0,32.95,33.9,1815247
2007/05/04,35.2,36.25,34.5,36.25,1469882
2007/05/07,38.0,38.6,37.0,38.05,3260200
2007/05/08,38.5,38.5,37.6,37.7,1272792
2007/05/09,38.0,39.7,37.75,38.05,2936025
2007/05/10,39.0,39.2,37.85,39.2,3164069
2007/05/11,39.2,39.5,38.7,39.1,1717339
2007/05/14,40.0,40.0,38.6,38.7,1169103
2007/05/15,38.8,39.4,38.2,38.2,846567
2007/05/16,38.3,38.55,37.8,37.85,621307
2007/05/17,38.15,38.45,37.15,37.6,868398
2007/05/18,37.5,37.6,36.75,36.8,700043
2007/05/21,36.6,39.3,36.5,38.8,1171698
2007/05/22,39.9,40.6,39.45,39.6,2142963
2007/05/23,39.6,39.6,38.3,38.5,844899
2007/05/24,38.0,38.3,37.5,38.0,618231
2007/05/25,38.0,38.4,37.6,38.2,265250
2007/05/28,38.4,38.6,37.8,38.05,391114
2007/05/29,38.5,38.5,37.6,37.7,386008
2007/05/30,38.3,38.3,37.5,37.7,335473
2007/05/31,38.0,38.45,37.7,38.15,484201
2007/06/01,38.8,39.6,38.35,39.05,1243984
2007/06/04,39.7,40.4,38.9,39.5,1057245
2007/06/05,40.6,41.9,40.5,40.7,2137472
2007/06/06,41.4,41.5,40.2,40.5,1493565
2007/06/07,40.5,40.9,40.1,40.6,594811
2007/06/08,40.4,40.4,39.7,40.1,832500
2007/06/11,40.35,42.9,40.15,42.9,3748816
2007/06/12,44.3,45.0,43.55,43.55,3694424
2007/06/13,42.8,43.55,42.05,42.5,1839592
2007/06/14,43.1,43.7,42.5,42.5,1280829
2007/06/15,42.8,43.5,42.5,42.85,806000
2007/06/20,42.7,42.75,41.2,41.2,1021019
2007/06/21,40.5,41.85,40.5,41.5,528853
2007/06/22,41.55,42.25,41.35,41.6,754789
2007/06/23,41.6,41.6,40.8,41.1,618147
2007/06/25,41.1,41.8,41.0,41.7,716931
2007/06/26,41.7,42.2,41.35,41.5,516980
2007/06/27,41.3,42.0,41.2,41.45,557153
2007/06/28,41.5,43.4,41.45,43.05,1662776
2007/06/29,43.4,44.2,42.45,42.7,1581301
2007/07/02,42.7,42.95,42.1,42.95,644482
2007/07/03,42.95,43.0,42.15,42.65,687104
2007/07/04,42.6,42.6,41.7,41.8,829099
2007/07/05,41.8,41.8,40.8,40.9,1612421
2007/07/06,40.8,41.3,40.2,40.35,819826
2007/07/09,40.2,40.8,39.6,40.8,1525100
2007/07/10,40.6,41.5,39.9,41.2,1078100
2007/07/11,40.8,41.4,40.25,40.4,1311156
2007/07/12,40.4,42.55,40.3,41.3,2007881
2007/07/13,41.5,41.8,40.9,41.8,1368550
2007/07/16,41.6,42.55,41.5,41.9,1294100
2007/07/17,41.8,42.0,41.4,41.5,657653
2007/07/18,41.4,43.25,41.0,41.8,2439845
2007/07/19,37.6,39.4,37.6,39.4,2214405
2007/07/20,39.4,41.6,39.0,40.5,2306741
2007/07/23,41.2,42.0,40.1,41.55,1563099
2007/07/24,41.8,42.4,40.8,41.8,2213522
2007/07/25,41.6,41.6,40.6,40.65,1312908
2007/07/26,40.6,41.95,39.5,40.3,1047291
2007/07/27,38.4,40.5,38.4,39.85,675178
2007/07/30,39.5,40.3,39.35,39.65,364445
2007/07/31,40.1,40.2,39.5,39.5,457000
2007/08/01,39.5,40.0,38.5,38.55,446732
2007/08/02,39.0,39.4,37.1,38.2,684300
2007/08/03,38.45,38.6,37.3,37.3,306243
2007/08/06,37.1,38.8,37.0,38.8,610000
2007/08/07,39.6,41.3,39.0,39.0,561157
2007/08/08,38.5,39.9,38.5,39.8,243000
2007/08/09,39.8,40.0,38.8,39.7,185242
2007/08/10,37.0,39.5,37.0,39.5,451100
2007/08/13,38.5,38.5,37.0,37.85,638067
2007/08/14,37.45,37.85,37.1,37.7,313000
2007/08/15,37.1,37.3,36.15,36.6,306000
2007/08/16,34.35,34.55,34.05,34.5,538020
2007/08/17,34.45,34.45,32.3,32.4,273206
2007/08/20,34.0,34.65,32.5,34.55,200864
2007/08/21,34.55,34.55,33.0,34.4,183100
2007/08/22,33.85,34.4,33.05,34.25,193548
2007/08/23,35.7,36.45,35.45,36.0,326290
2007/08/24,36.0,37.0,35.6,36.55,389164
2007/08/27,38.0,38.8,37.0,37.2,399649
2007/08/28,37.95,38.5,37.4,38.0,373000
2007/08/29,37.5,38.7,37.2,38.0,649786
2007/08/30,39.0,39.3,38.4,38.4,867200
2007/08/31,39.2,40.6,39.2,39.8,1384500
2007/09/03,40.2,40.85,39.8,40.15,1029878
