日期,開盤價,最高價,最低價,收盤價,成交量
2025/05/02,49.55,50.6,49.2,49.8,9446904
2025/05/05,50.7,51.9,45.3,47.05,19076445
2025/05/06,47.25,51.7,46.85,51.7,27551909
2025/05/07,52.9,52.9,50.1,50.3,62113118
2025/05/08,50.8,52.6,50.5,51.2,32653332
2025/05/09,51.8,56.3,51.4,53.3,55848177
2025/05/12,53.4,54.1,52.5,53.5,27040426
2025/05/13,54.0,54.2,52.4,52.5,16934981
2025/05/14,52.7,54.3,52.2,53.0,14352866
2025/05/15,53.7,56.9,53.2,55.0,32049518
2025/05/16,56.1,56.1,53.6,53.7,16573946
2025/05/19,53.7,53.7,51.2,52.1,10695365
2025/05/20,53.50,54.80,51.80,51.90,24744661
