日期,開盤價,最高價,最低價,收盤價,成交量
2025/05/02,54.2,55.3,54.1,55.2,143348
2025/05/05,55.2,55.3,52.7,52.7,231143
2025/05/06,52.7,53.9,52.5,53.1,88316
2025/05/07,53.1,53.5,52.9,52.9,79224
2025/05/08,53.4,53.7,53.0,53.1,133096
2025/05/09,53.5,53.6,53.0,53.0,62083
2025/05/12,51.6,52.6,50.5,50.5,411426
2025/05/13,52.0,52.0,50.4,50.7,157347
2025/05/14,50.9,51.0,49.2,50.1,160474
2025/05/15,50.9,50.9,49.8,49.8,78037
2025/05/16,50.0,50.3,47.1,47.9,392723
2025/05/19,48.0,48.0,46.0,46.0,488155
2025/05/20,46.30,47.45,45.85,46.10,325726
