日期,開盤價,最高價,最低價,收盤價,成交量
2007/04/23,5.58,5.76,5.19,5.19,446000
2007/04/24,5.20,5.30,4.87,5.20,80600
2007/04/25,5.20,5.20,4.84,4.85,177699
2007/04/26,4.85,5.09,4.85,5.07,123000
2007/04/27,4.78,5.25,4.72,5.25,178722
2007/04/30,5.00,5.00,4.90,4.90,41000
2007/05/02,4.66,5,4.66,5,21000
2007/05/03,5.19,5.19,4.70,4.98,187118
2007/05/04,4.70,4.96,4.64,4.64,71000
2007/05/07,4.65,4.80,4.32,4.32,283055
2007/05/08,4.11,4.40,4.11,4.21,60288
2007/05/09,4.39,4.40,4.39,4.40,38000
2007/05/10,4.60,4.60,4.40,4.50,63673
2007/05/11,4.50,4.77,4.50,4.77,131534
2007/05/14,4.75,4.75,4.50,4.50,16760
2007/05/15,4.40,4.80,4.40,4.80,56458
2007/05/16,4.50,4.85,4.50,4.60,36926
2007/05/17,4.50,4.50,4.40,4.50,195073
2007/05/18,4.70,4.80,4.41,4.41,64615
2007/05/21,4.50,4.71,4.50,4.51,16402
2007/05/22,4.51,4.51,4.50,4.51,167650
2007/05/23,4.50,4.50,4.50,4.50,294173
2007/05/24,4.60,4.60,4.50,4.50,45000
2007/05/25,4.70,4.70,4.70,4.70,6568
2007/05/28,4.68,4.70,4.41,4.41,72000
2007/05/29,4.21,4.21,4.21,4.21,10000
2007/05/30,4.25,4.25,4.21,4.21,6293
2007/05/31,4.25,4.25,4.25,4.25,3000
2007/06/01,4.50,4.50,4.16,4.16,75482
2007/06/04,4.01,4.45,4.01,4.45,210000
2007/06/05,4.50,4.60,4.33,4.33,22000
2007/06/06,4.33,4.61,4.33,4.61,48744
2007/06/07,4.31,4.31,4.31,4.31,3390
2007/06/08,4.10,4.10,4.10,4.10,13000
2007/06/11,4.38,4.38,4.10,4.10,190160
2007/06/12,4.30,4.38,4.30,4.38,39933
2007/06/13,4.68,4.68,4.67,4.68,186823
2007/06/14,4.36,4.76,4.36,4.76,140000
2007/06/15,4.85,4.85,4.48,4.75,306000
2007/06/20,4.70,4.81,4.43,4.43,127218
2007/06/21,4.30,4.71,4.30,4.71,14191
2007/06/22,4.69,5.03,4.52,5.00,185561
2007/06/23,5.07,5.07,4.74,4.74,109000
2007/06/25,4.65,4.92,4.54,4.54,198637
2007/06/26,4.56,4.57,4.50,4.50,48183
2007/06/27,4.70,4.81,4.70,4.81,80040
2007/06/28,4.81,4.81,4.60,4.81,133000
2007/06/29,4.62,4.80,4.62,4.80,40000
2007/07/02,4.51,4.80,4.51,4.74,114000
2007/07/03,4.65,4.74,4.65,4.65,28731
2007/07/04,4.36,4.50,4.36,4.40,39230
2007/07/05,4.40,4.56,4.40,4.45,47949
2007/07/06,4.45,4.45,4.16,4.25,70465
2007/07/09,4.02,4.53,4.02,4.50,128463
2007/07/10,4.50,4.50,4.50,4.50,85400
2007/07/11,4.48,4.50,4.21,4.21,31720
2007/07/12,4.20,4.49,4.20,4.20,65927
2007/07/13,4.20,4.30,4.10,4.30,68468
2007/07/16,4.60,4.60,4.50,4.50,144519
2007/07/17,4.50,4.60,4.50,4.50,107895
2007/07/18,4.49,4.49,4.25,4.30,55463
2007/07/19,4.30,4.60,4.00,4.59,486739
2007/07/20,4.90,4.91,4.90,4.91,334399
2007/07/23,5.20,5.25,4.58,4.97,406000
2007/07/24,5.03,5.20,4.65,4.65,164000
2007/07/25,4.55,4.96,4.55,4.90,130528
2007/07/26,4.90,5.10,4.90,5.00,267620
2007/07/27,4.65,4.99,4.65,4.66,272333
2007/07/30,4.46,4.60,4.46,4.60,51000
2007/07/31,4.28,4.90,4.28,4.50,128507
2007/08/01,4.50,4.80,4.50,4.80,117057
2007/08/02,4.90,5.00,4.80,4.99,126741
2007/08/03,5.30,5.30,5.00,5.10,101093
2007/08/06,5.15,5.20,4.95,5.00,73106
2007/08/07,4.91,5.00,4.80,5.00,91659
2007/08/08,4.75,4.99,4.75,4.99,11659
2007/08/09,4.66,4.99,4.66,4.69,106106
2007/08/10,4.69,4.99,4.50,4.54,95000
2007/08/13,4.84,4.85,4.60,4.85,61168
2007/08/14,5.16,5.16,4.52,4.80,21000
2007/08/15,0.00,0.00,0.00,0.00,0
