日期,開盤價,最高價,最低價,收盤價,成交量
2025/05/02,17.95,18.0,17.7,17.8,43000
2025/05/05,17.6,17.6,17.0,17.3,89705
2025/05/06,17.3,17.7,17.1,17.5,54125
2025/05/07,17.5,17.55,17.2,17.2,31061
2025/05/08,17.6,18.9,17.6,18.9,398961
2025/05/09,19.2,19.7,18.75,18.85,512710
2025/05/12,19.2,19.2,18.65,19.05,115200
2025/05/13,19.2,19.7,19.0,19.05,149070
2025/05/14,19.0,19.15,18.85,19.15,86458
2025/05/15,19.2,20.45,18.9,19.8,390399
2025/05/16,19.6,20.0,19.4,19.4,116902
2025/05/19,19.4,19.6,19.05,19.05,104002
2025/05/20,19.10,19.25,19.05,19.25,48057
