日期,開盤價,最高價,最低價,收盤價,成交量
2010/01/04,51.9,52.7,51.6,51.8,806593
2025/05/02,48.8,49.75,48.8,49.65,323557
2025/05/05,50.0,50.0,46.5,47.05,558707
2025/05/06,46.6,47.85,46.6,47.1,233674
2025/05/07,47.95,47.95,46.8,47.2,133684
2025/05/08,48.0,49.95,48.0,49.8,605178
2025/05/09,49.4,52.2,49.1,52.0,954383
2025/05/12,52.9,53.2,51.5,51.8,1360285
2025/05/13,52.7,52.8,51.7,52.0,650042
2025/05/14,52.5,52.5,51.7,52.2,527190
2025/05/15,52.3,52.8,51.8,52.0,461325
2025/05/16,52.4,52.7,51.9,52.1,365069
2025/05/19,52.4,52.6,51.0,51.1,400129
2025/05/20,51.40,51.70,50.80,51.10,204141
