日期,開盤價,最高價,最低價,收盤價,成交量
2025/05/02,127.5,127.5,123.0,124.5,49972
2025/05/05,125.0,125.5,121.0,123.5,42018
2025/05/06,122.0,124.0,122.0,124.0,9353
2025/05/07,125.5,125.5,121.5,123.0,19018
2025/05/08,122.5,126.5,122.0,125.0,29213
2025/05/09,126.5,127.0,124.5,125.5,29506
2025/05/12,129.5,131.0,126.0,128.0,118435
2025/05/13,129.0,129.0,126.0,127.0,43847
2025/05/14,126.0,126.5,124.5,124.5,48682
2025/05/15,124.5,124.5,123.0,123.5,37158
2025/05/16,122.5,123.5,121.5,123.0,60410
2025/05/19,123.0,124.0,122.5,123.0,31719
2025/05/20,124.00,126.00,124.00,124.50,38881
