日期,開盤價,最高價,最低價,收盤價,成交量
2007/04/23,20.2,20.25,19.9,19.9,574620
2007/04/24,19.95,20.15,19.75,19.95,358696
2007/04/25,19.95,19.95,19.8,19.8,120100
2007/04/26,20.05,20.05,19.9,19.95,110000
2007/04/27,20.0,20.0,19.8,19.8,158065
2007/04/30,19.7,19.75,19.55,19.65,114000
2007/05/02,19.6,19.75,19.5,19.5,253313
2007/05/03,19.55,19.55,18.35,19.15,447000
2007/05/04,19.1,19.35,19.05,19.3,70100
2007/05/07,19.2,19.3,19.1,19.15,125465
2007/05/08,19.2,19.3,19.05,19.2,172428
2007/05/09,19.2,19.3,18.95,18.95,130279
2007/05/10,19.2,19.2,19.1,19.15,90001
2007/05/11,19.15,20.35,19.15,19.95,781001
2007/05/14,20.25,20.8,20.15,20.3,941409
2007/05/15,20.15,20.5,20.0,20.2,269092
2007/05/16,20.3,20.4,20.15,20.2,160526
2007/05/17,20.3,20.4,19.9,20.25,190829
2007/05/18,20.2,20.25,19.95,20.0,188835
2007/05/21,20.0,20.3,20.0,20.0,142763
2007/05/22,20.2,20.55,20.0,20.1,120112
2007/05/23,20.35,20.5,20.15,20.5,444769
2007/05/24,20.5,20.75,20.4,20.4,395359
2007/05/25,20.3,20.7,20.15,20.55,628108
2007/05/28,20.6,21.0,20.6,20.8,613809
2007/05/29,20.95,20.95,20.3,20.45,385171
2007/05/30,20.65,20.65,20.45,20.45,211605
2007/05/31,20.5,20.65,20.35,20.45,354194
2007/06/01,20.6,20.65,20.3,20.45,408875
2007/06/04,20.5,20.55,20.3,20.4,332363
2007/06/05,20.4,20.7,20.4,20.5,395815
2007/06/06,20.6,20.8,20.5,20.5,487992
2007/06/07,20.45,20.6,20.4,20.45,239154
2007/06/08,20.45,20.45,20.25,20.4,226009
2007/06/11,20.5,20.7,20.4,20.65,357779
2007/06/12,20.7,21.65,20.7,21.3,1069590
2007/06/13,21.3,21.5,21.05,21.05,611000
2007/06/14,21.1,21.35,20.6,20.6,847419
2007/06/15,20.7,20.85,20.45,20.45,273907
2007/06/20,20.55,20.55,20.2,20.3,565308
2007/06/21,20.3,20.55,20.2,20.35,278996
2007/06/22,20.35,20.85,20.35,20.75,563099
2007/06/23,20.7,21.25,20.6,21.2,1540008
2007/06/25,21.5,21.7,21.1,21.2,1951255
2007/06/26,21.45,21.5,21.0,21.0,619000
2007/06/27,21.4,21.8,20.9,21.8,1026047
2007/06/28,22.1,22.8,22.1,22.4,2206639
2007/06/29,22.8,23.95,22.05,23.95,2640343
2007/07/02,24.0,24.0,23.25,23.35,1133363
2007/07/03,23.5,23.8,22.85,23.7,1742219
2007/07/04,23.7,23.8,23.0,23.15,940653
2007/07/05,23.15,23.2,22.75,22.95,877095
2007/07/06,23.0,23.45,22.85,23.3,724130
2007/07/09,23.3,23.5,22.8,23.25,742395
2007/07/10,22.9,23.2,22.9,23.0,647457
2007/07/11,22.8,23.55,22.5,23.0,2273942
2007/07/12,23.2,23.3,22.85,22.9,618998
2007/07/13,23.2,23.2,22.7,22.7,484338
2007/07/16,22.8,22.9,22.4,22.55,475876
2007/07/17,22.8,23.3,22.6,23.3,720188
2007/07/18,23.3,23.5,23.1,23.45,625882
2007/07/19,23.45,23.55,23.15,23.3,572119
2007/07/20,23.4,23.45,23.0,23.25,486008
2007/07/23,23.3,23.35,22.85,23.3,576059
2007/07/24,23.4,23.85,23.35,23.35,1114385
2007/07/25,23.5,23.5,23.1,23.1,496405
2007/07/26,23.45,23.45,22.1,22.7,540881
2007/07/27,22.2,22.65,22.1,22.3,382000
2007/07/30,21.8,22.3,21.8,22.0,312135
2007/07/31,22.5,22.5,22.2,22.4,320820
2007/08/01,22.3,22.4,22.0,22.0,271782
2007/08/02,22.5,22.5,21.3,22.0,554696
2007/08/03,22.0,22.3,22.0,22.1,146840
2007/08/06,22.0,22.1,21.55,21.8,353004
2007/08/07,21.9,21.95,21.5,21.6,238638
2007/08/08,21.8,21.95,21.7,21.8,142321
2007/08/09,21.8,22.15,21.8,22.0,270904
2007/08/10,21.6,21.9,21.5,21.8,316423
2007/08/13,21.8,21.95,21.6,21.6,502626
2007/08/14,19.3,19.35,18.95,19.1,119587
2007/08/15,18.9,19.0,18.0,18.45,239151
2007/08/16,18.0,18.2,17.2,17.2,620006
2007/08/17,16.7,17.7,16.7,17.0,275004
