日期,開盤價,最高價,最低價,收盤價,成交量
2010/01/04,11.6,12.05,11.25,11.6,612897
2025/05/02,63.5,64.0,62.4,63.4,565475
2025/05/05,64.0,64.6,59.4,61.1,551769
2025/05/06,60.6,62.9,60.4,62.2,344308
2025/05/07,62.6,63.8,61.9,63.2,216730
2025/05/08,63.9,65.0,63.6,63.7,216329
2025/05/09,64.4,65.5,63.8,65.0,232578
2025/05/12,64.9,65.3,64.4,64.9,155616
2025/05/13,66.0,66.0,63.8,64.4,152907
2025/05/14,64.4,65.9,64.4,65.4,166904
2025/05/15,64.3,64.3,62.8,63.7,367637
2025/05/16,63.7,63.7,61.6,61.7,506198
2025/05/19,61.9,62.4,61.5,61.8,116468
2025/05/20,62.40,63.10,61.90,61.90,121775
