日期,開盤價,最高價,最低價,收盤價,成交量
2025/05/02,75.6,75.7,72.8,72.8,2533236
2025/05/05,73.0,73.1,67.8,68.5,1516833
2025/05/06,68.4,71.0,67.8,68.7,1178940
2025/05/07,69.3,69.3,67.2,67.6,706783
2025/05/08,68.2,73.8,68.2,71.3,2718658
2025/05/09,71.4,71.4,69.5,70.9,1008810
2025/05/12,68.5,70.9,68.3,70.0,1136897
2025/05/13,71.7,73.9,69.6,70.6,1998137
2025/05/14,71.6,72.4,70.7,70.8,840345
2025/05/15,71.0,71.9,70.2,70.5,899868
2025/05/16,71.2,76.0,71.1,72.6,5469501
2025/05/19,72.3,72.4,68.9,70.4,1023139
2025/05/20,70.50,71.20,69.00,69.80,426999
