日期,開盤價,最高價,最低價,收盤價,成交量
2025/05/02,175.0,176.0,175.0,176.0,26002
2025/05/05,176.0,177.0,174.0,177.0,53360
2025/05/06,178.0,178.0,175.5,177.0,13674
2025/05/07,174.5,177.0,174.5,177.0,22711
2025/05/08,178.0,178.5,177.5,178.5,19628
2025/05/09,178.5,179.5,178.0,178.5,32442
2025/05/12,178.5,179.0,177.5,177.5,20793
2025/05/13,178.0,179.0,177.5,179.0,34908
2025/05/14,177.5,178.0,177.0,177.5,47829
2025/05/15,177.5,177.5,177.0,177.5,15388
2025/05/16,177.0,178.0,176.0,178.0,26480
2025/05/19,176.5,177.5,176.5,177.0,27209
2025/05/20,178.00,178.00,177.00,177.00,19837
