日期,開盤價,最高價,最低價,收盤價,成交量
2025/05/02,---,---,---, ---,0
2025/05/05,29.95,29.95,29.00,29.00,7000
2025/05/06,29.50,29.50,29.30,29.30,4000
2025/05/07,29.50,29.50,29.20,29.40,8000
2025/05/08,29.55,29.55,29.20,29.20,26000
2025/05/09,---,---,---, ---,0
2025/05/12,29.60,29.60,29.50,29.50,4103
2025/05/13,29.50,29.50,28.60,28.60,3000
2025/05/14,---,---,---, ---,0
2025/05/15,29.60,31.45,29.60,31.45,5405
2025/05/16,30.05,30.05,29.90,29.90,8005
2025/05/19,29.70,29.70,29.65,29.70,6001
2025/05/20,29.90,29.90,27.40,29.20,6300
