日期,開盤價,最高價,最低價,收盤價,成交量
2025/05/02,40.95,41.35,40.8,41.15,26245
2025/05/05,41.65,41.65,40.1,40.6,72411
2025/05/06,40.15,40.55,39.95,40.55,33079
2025/05/07,40.5,40.5,40.4,40.4,8384
2025/05/08,40.75,40.8,40.4,40.7,11091
2025/05/09,40.35,40.9,40.35,40.7,8347
2025/05/12,40.15,40.7,40.15,40.35,11956
2025/05/13,40.7,41.0,40.55,40.6,23381
2025/05/14,40.6,40.75,40.15,40.5,48004
2025/05/15,40.75,41.85,40.4,40.4,35929
2025/05/16,40.85,41.65,40.6,41.0,28955
2025/05/19,41.2,42.4,41.2,41.9,91089
2025/05/20,41.95,41.95,41.40,41.65,35254
