日期,開盤價,最高價,最低價,收盤價,成交量
2025/05/02,53.1,53.6,51.7,51.9,653988
2025/05/05,51.8,51.8,48.5,49.75,599950
2025/05/06,49.35,51.0,48.9,49.8,342088
2025/05/07,50.5,51.5,48.9,49.9,722093
2025/05/08,50.8,51.2,50.1,51.1,290062
2025/05/09,51.7,53.0,51.1,52.0,1304944
2025/05/12,53.0,54.1,52.3,52.5,860305
2025/05/13,54.5,54.7,52.2,52.6,753321
2025/05/14,52.7,55.2,52.7,54.0,2295761
2025/05/15,54.0,54.0,52.5,52.6,514096
2025/05/16,52.7,53.0,52.3,52.3,318646
2025/05/19,52.4,52.4,50.2,50.2,412505
2025/05/20,50.70,51.40,49.85,49.90,286335
