日期,開盤價,最高價,最低價,收盤價,成交量
2022-05-20,61.0,63.0,60.7,62.7,1818201
2022-05-23,62.4,63.2,62.4,62.5,671581
2022-05-24,62.9,64.6,62.7,62.7,683754
2022-05-25,62.5,62.9,61.8,62.5,346320
2022-05-26,62.8,64.4,62.8,63.6,548150
2022-05-27,63.6,67.0,63.6,65.2,549440
2022-05-30,66.0,66.7,65.0,65.3,397030
2022-05-31,65.4,65.4,64.0,64.2,329097
2022-06-01,64.0,64.2,63.0,63.6,311377
2022-06-02,63.8,64.5,63.5,63.7,147020
2022-06-06,63.8,63.8,63.0,63.2,230005
2022-06-07,63.0,63.2,62.0,63.2,217407
2022-06-08,63.2,66.2,63.2,65.9,438080
2022-06-09,66.0,70.9,66.0,69.0,692656
2022-06-10,67.1,75.9,67.1,75.9,1290156
2022-06-13,74.0,80.0,73.3,79.7,896336
2022-06-14,78.9,80.0,75.2,79.8,759807
2022-06-15,77.8,84.4,77.8,82.5,895079
2022-06-16,82.9,83.7,78.0,79.7,925343
2022-06-17,75.1,80.2,75.1,80.2,481814
2022-06-20,80.1,80.2,77.4,77.4,181264
2022-06-21,79.5,80.1,76.5,79.6,363253
2022-06-22,78.7,80.4,75.8,76.5,163979
2022-06-23,76.8,76.8,71.7,73.5,290913
2022-06-24,74.5,79.4,74.5,76.8,286451
2022-06-27,77.2,79.4,77.2,78.5,125350
2022-06-28,78.5,78.5,76.4,76.9,63296
2022-06-29,76.4,76.4,75.0,75.6,40008
2022-06-30,74.6,74.9,71.0,72.3,253275
2022-07-01,72.3,72.9,69.3,69.6,239963
2022-07-04,69.6,69.6,67.6,68.5,74808
2022-07-05,67.5,70.5,67.0,70.0,155119
2022-07-06,68.3,69.0,66.0,66.0,142264
2022-07-07,67.2,72.6,67.0,70.3,233173
2022-07-08,70.0,71.5,68.0,68.0,127496
2022-07-11,68.9,68.9,67.1,67.3,37217
2022-07-12,67.0,68.0,65.8,66.5,90142
2022-07-13,68.0,68.2,67.5,68.0,52428
2022-07-14,68.0,69.0,67.1,68.4,75000
2022-07-15,68.0,69.5,68.0,68.0,60000
2022-07-18,70.0,70.0,68.0,68.0,44000
2022-07-19,69.0,70.5,68.1,69.0,62298
2022-07-20,68.7,70.5,68.7,69.0,24100
2022-07-21,68.6,69.7,68.5,69.6,30000
2022-07-22,69.6,69.6,67.0,68.0,83002
2022-07-25,68.0,68.0,67.0,67.9,26200
2022-07-26,67.9,68.1,67.0,68.1,34000
2022-07-27,67.1,70.0,67.0,67.9,58000
2022-07-28,68.1,69.4,66.0,67.6,84878
2022-07-29,68.0,68.0,66.9,67.9,74031
2022-08-01,68.1,70.5,67.8,70.5,102205
2022-08-02,69.8,69.8,67.5,67.6,114138
2022-08-03,67.2,67.5,67.0,67.0,56096
2022-08-04,67.1,67.5,66.2,67.2,73018
